Date,TSMC,Chain_tech,GUC,Asrock,TUL,NVDA,AMD,INTC,Bitcoin,Ethereum,Litecoin,USDX,Gold,crude_oil,SP500,TW_index
2019/7/1,247.78,30.34,230.64,59.84,76.94,166.17,31.2,48.05,10583.13,293.64,122.58,96.409,1384.02,59.09,2964.33,10895.46
2019/6/28,239.11,31.5,224.87,59.69,77.65,164.23,30.37,47.87,12407.33,311.23,120.15,95.666,1409.25,58.47,2941.76,10730.83
2019/6/27,239.56,31.95,227.62,59.7,81.27,163.23,30.74,47.46,11182.81,294.27,114.4,95.742,1409.64,59.43,2924.92,10773.9
2019/6/26,234.9,31.86,226.19,62.56,79.84,159.26,29.92,48.19,13016.23,336.75,131.27,95.728,1408.81,59.38,2913.78,10652.55
2019/6/25,239.38,31.54,225.67,62.82,78.01,151.48,28.86,46.85,11790.92,318.13,136.49,95.648,1423.19,57.83,2917.38,10706.72
2019/6/24,241.07,31.98,231.86,63.24,80.7,152.66,29.26,47.63,11011.1,310.42,135.53,95.487,1419.48,57.9,2945.35,10779.45
2019/6/21,247.81,31.15,228.31,62.37,81.69,151.76,29.1,47.46,10144.56,294.91,138.88,95.718,1399.21,57.43,2950.46,10803.77
2019/6/20,244.17,30.69,221.29,62.58,78.17,154.1,30.01,47.19,9527.16,271.7,135.48,96.138,1388.25,56.65,2954.18,10785.01
2019/6/19,242.5,30.59,215.09,62.35,76.21,153.12,30.5,47.07,9273.52,269.43,136.6,96.582,1360.11,53.76,2926.46,10775.34
2019/6/18,234.68,30.96,213.57,61.86,76.87,152.88,30.45,47.37,9081.76,265.05,135.16,97.153,1346.26,53.9,2917.75,10566.74
2019/6/17,232.98,29.32,211.33,61.26,73.02,145.03,29.2,46.13,9320.35,274.35,134.44,97.396,1339.39,51.93,2889.67,10530.54
2019/6/14,237.17,29.08,207.84,61.14,70.34,144.64,30.36,46.19,8693.83,264.09,133.05,97.57,1341.58,52.51,2886.98,10524.67
2019/6/13,241.2,28.33,208.97,60.89,71.03,148.26,31.39,46.7,8230.92,256.17,131.35,96.999,1341.97,52.28,2891.64,10561.01
2019/6/12,245.64,27.84,213.12,60.9,69.16,146.2,32.18,46.32,8145.86,260.9,135.65,96.97,1333.29,51.14,2879.84,10615.66
2019/6/11,243.54,27.77,211.2,60.63,69,150.75,32.41,46.85,7927.71,245.78,136.03,96.645,1326.19,53.27,2885.72,10607.76
2019/6/10,237.68,27.61,206.67,59.64,67.62,148.43,33.23,46.8,8000.33,247.52,129.07,96.711,1327.79,53.26,2886.73,10566.47
2019/6/6,231.12,27.86,205.06,59.4,68.43,143.78,31.82,45.1,7822.02,249.47,111.11,96.997,1335.17,52.59,2843.49,10409.2
2019/6/5,235.7,28.32,211.34,59.93,68.93,141.28,29.5,44.55,7824.23,247.05,103.85,97.251,1330.06,51.68,2826.15,10461.62
2019/6/4,235.03,28.53,215.56,59.9,69.79,143,29.57,44.79,7707.77,241.34,102.09,96.999,1325.25,53.48,2803.27,10429.12
2019/6/3,235.82,29.28,222.66,60.18,72.45,133.78,27.58,43.46,8208.99,252.61,107.47,97.06,1325.11,53.25,2744.45,10500.07
2019/5/31,235.13,28.84,227.38,60.61,71.12,135.46,27.41,44.04,8574.5,268.11,114.54,97.666,1305.2,53.5,2752.06,10498.49
2019/5/30,230.16,28.82,225.7,60.48,71.94,139.11,28.03,44.73,8319.47,255.86,108.8,98.053,1288.03,56.59,2788.86,10382.99
2019/5/29,228.92,29.73,226.57,61.17,73.5,140.34,28.09,44.23,8659.49,269.46,115.08,98.035,1279.45,58.81,2783.02,10301.78
2019/5/28,230.67,29.6,223.29,60.52,73.77,143.33,29.05,43.57,8719.96,271.77,114.93,97.842,1278.79,59.14,2802.39,10312.31
2019/5/27,232.26,28.98,216.88,59.12,69.56,NA,NA,NA,8805.78,272.86,118.03,97.477,1285,59.16,NA,10334.13
2019/5/24,231.94,28.01,215.37,58.6,68.81,145.15,26.44,44.57,7987.37,249.48,99.9,97.477,1284.67,58.63,2826.06,10328.28
2019/5/23,230.96,28.24,213.07,58.37,67.43,147.32,26.36,44.53,7881.85,245.97,89.18,97.723,1283.19,57.91,2822.24,10308.37
2019/5/22,238.89,27.68,219.51,59.13,69.64,152.2,27.41,44,7680.07,244.7,88.21,97.881,1273,61.42,2856.27,10457.22
2019/5/21,234.32,27.66,218.45,59.03,68.41,155.06,27.35,44.46,7963.33,255.22,91.51,97.896,1274.41,62.99,2864.36,10464.5
2019/5/20,240,27.39,211.48,58.61,69.43,151.75,26.68,43.56,7978.31,251.86,91.49,97.764,1277.47,63.1,2840.23,10398.41
2019/5/17,244.34,27.45,217.49,59.14,69.89,156.53,27.5,44.89,7343.9,243.76,89,97.824,1277.34,62.76,2859.53,10384.11
2019/5/16,247.96,27.83,226.93,60.23,75.01,160.19,28.01,45.53,7884.91,264.01,95.59,97.678,1286.41,62.87,2876.32,10474.61
2019/5/15,250.57,27.99,223.28,61.03,76.04,159.58,27.58,45.62,8205.17,247.15,101.74,97.376,1296.21,62.02,2850.96,10560.71
2019/5/14,248.68,28.09,214.37,59.68,74.37,162.04,27.32,45.17,7994.42,217.15,91.62,97.322,1296.7,61.78,2834.41,10519.25
2019/5/13,251.53,28.26,211.57,59,70.62,158.45,26.24,44.76,7814.92,196.85,88.06,97.12,1299.48,61.04,2811.87,10558.29
2019/5/10,256.76,27.88,204.3,59.77,67.38,168.82,27.96,46.2,6378.85,173.14,77.17,97.125,1285.78,61.66,2881.4,10712.99
2019/5/9,257.51,28.28,209.23,59.92,69.32,170.19,27.21,46.62,6174.53,170.29,74.18,97.164,1283.72,61.7,2870.72,10733.67
2019/5/8,260.6,29,213.55,60.5,67.98,173.92,27.09,49.24,5982.46,170.95,74.62,97.388,1280.53,62.12,2879.42,10923.71
2019/5/7,261.59,28.89,219.5,61.44,69,173.11,26.66,50.48,5829.5,169.8,74.69,97.399,1284.22,61.4,2884.05,10987.14
2019/5/6,258.76,29.06,216.87,61.5,69.5,179.85,27.42,51.22,5746.81,172.65,74.98,97.268,1280.78,62.25,2932.47,10897.12
2019/5/3,262.93,28.84,226,61.98,68.12,183.01,28.22,51.75,5768.29,167.95,79.33,97.26,1278.54,61.94,2945.64,11096.3
2019/5/2,260.16,28.99,223.41,62.42,66.37,183.19,28.29,50.55,5505.28,162.12,73.78,97.586,1270.04,61.81,2917.52,11004.49
2019/4/30,259.22,28.68,226.23,61.98,65.67,181,27.63,51.04,5350.73,162.17,74.28,97.201,1283.29,63.91,2945.83,10967.73
2019/4/29,259.62,28.76,227.86,62.38,66.32,179.33,27.69,51.11,5247.35,155.2,67.96,97.581,1279.55,63.5,2943.03,10939.06
2019/4/26,260.11,29.48,236.57,62.85,67.94,178.09,27.88,52.43,5279.35,156.35,73.12,97.726,1285.91,63.3,2939.88,10952.47
2019/4/25,267.96,29.85,241.96,63.66,69.84,186.91,27.66,57.61,5210.52,154.46,71.25,97.919,1276.89,65.21,2926.17,11039.86
2019/4/24,268.66,29.93,238.99,63.8,71.67,191.17,28.46,58.72,5464.87,165.83,73.31,97.855,1275.45,65.89,2927.25,11027.64
2019/4/23,267.31,30.16,238.35,63.93,70.25,190.67,27.97,58.78,5572.36,171.45,74.85,97.32,1272.15,66.3,2933.68,11025.68
2019/4/22,265.79,30.49,238.26,64.16,68.71,188.47,28.18,58.82,5399.37,171.87,76.95,96.955,1274.73,65.7,2907.97,10987.71
2019/4/19,266.51,30.58,237.78,63.8,69.63,NA,NA,NA,5303.81,173.71,82.57,NA,1275.54,NA,NA,10968.5
2019/4/18,264.52,30.77,227.61,64.6,72.3,186.3,27.68,58.49,5298.39,173.81,82.07,97.151,1275.54,64,2905.03,10962.02
2019/4/17,261.35,30.81,220.22,65.22,73.85,187.29,27.49,58.56,5251.94,166.95,79.33,96.658,1273.49,63.76,2900.45,10997.26
2019/4/16,256.32,30.69,221.1,64.25,73.75,188.21,27.93,56.71,5235.56,167.62,81.35,96.652,1276.65,64.05,2907.06,10927.85
2019/4/15,255.2,31.02,214.46,63.99,73.85,184.7,27.33,56.28,5067.11,161.57,79.05,96.556,1287.6,63.4,2905.58,10875.6
2019/4/12,251.76,31.59,213.81,63.86,71.53,190.01,27.85,56.42,5089.54,164.74,78.96,96.598,1290.26,63.89,2907.41,10805.3
2019/4/11,252.43,31.47,219.64,64.33,73.72,191.54,27.79,55.8,5064.49,165.5,79.68,96.809,1292.35,63.58,2888.32,10808.77
2019/4/10,253.31,32.19,221.81,63.61,74.65,192.1,27.83,55.75,5324.55,177.34,88.38,96.558,1307.73,64.61,2888.21,10868.14
2019/4/9,253.25,32.81,231.6,64.57,82.41,189.26,27.24,55.32,5204.96,176.11,86.79,96.611,1303.83,63.98,2878.2,10851.6
2019/4/8,251.63,33.27,229.99,65.78,83.64,191.79,28.53,55.68,5289.77,180.26,89.49,96.65,1297.17,64.4,2895.77,10800.57
2019/4/3,247.56,33.05,224.13,66.33,78.13,188.62,29.02,55.48,4973.02,161.46,84.92,96.662,1289.61,62.46,2873.4,10704.38
2019/4/2,247.19,32.01,219.55,64.31,70.89,183,26.75,54.36,4879.88,163.96,76.19,96.923,1292.25,62.58,2867.24,10690.3
2019/4/1,247.89,32.32,206.72,63.26,70.13,182.28,26.36,54.51,4158.18,141.83,60.68,96.799,1287.41,61.59,2867.19,10642.63
2019/3/29,243.95,32.89,205.92,62.82,68.97,179.56,25.52,53.7,4098.37,142.5,61.3,96.845,1292.04,60.14,2834.4,10641.04
2019/3/28,241.43,32.48,205.55,62.66,70.48,177.25,25.06,53.11,4069.11,139.42,61.17,96.764,1290.16,59.3,2815.44,10536.26
2019/3/27,241.45,32.04,202.62,63.05,68.39,176.5,24.89,53.16,4087.07,140.99,62.25,96.283,1309.36,59.41,2805.37,10542.7
2019/3/26,242.68,31.9,203.32,63.8,69.87,176.87,25.69,53.44,3985.08,135.46,59.34,96.225,1315.39,59.94,2818.46,10559.2
2019/3/25,241.93,31.84,202.14,63.59,68.78,173.78,25.97,52.78,3963.07,135.03,59.5,96.068,1321.53,58.82,2798.36,10479.48
2019/3/22,247.03,32.46,211.81,65.67,69.25,177.5,26.37,53.26,4023.97,137.18,59.82,96.151,1313.42,59.04,2800.71,10639.07
2019/3/21,243.89,32.66,212.54,66.27,70.45,183.94,27.89,54.64,4029.33,136.64,59.38,95.987,1309.18,59.98,2854.88,10609.55
2019/3/20,241.31,33.43,212.51,64.46,70.69,174.4,25.7,53.82,4087.48,140.69,60.85,95.201,1312.16,59.83,2824.23,10551.56
2019/3/19,239.17,32.09,210.06,63.2,68.57,175.71,26,54.17,4071.19,140.52,60.62,95.831,1306.23,59.03,2832.57,10512.32
2019/3/18,240.13,30.21,206.5,63.08,63.57,168.95,23.25,54.1,4032.51,139.37,60.26,96.516,1303.07,59.09,2832.94,10512.7
2019/3/15,238.3,30.17,204.32,62.62,64.01,169.81,23.29,54.33,3960.91,137.69,58.99,96.59,1302.1,58.52,2822.48,10439.24
2019/3/14,235.92,30.23,204.77,60.94,64.65,165.56,22.82,53.44,3924.37,133.71,56.58,96.769,1295.87,58.61,2808.48,10348.65
2019/3/13,235.98,30.62,206.41,60.55,65.11,168.62,23.38,54.37,3906.72,133.26,55.93,96.512,1308.91,58.26,2810.92,10373.32
2019/3/12,234.96,30.96,205.25,60.73,66.3,162.52,23.49,53.57,3909.16,134.44,57,96.899,1301.28,56.87,2791.52,10343.33
2019/3/11,228.54,31.15,204.07,60.16,66.3,161.14,22.96,53.35,3905.23,133.83,55.42,97.174,1293.12,56.79,2783.3,10250.28
2019/3/8,230,30.26,200.98,59.39,63.17,150.64,22.01,52.48,3901.13,135.13,56.1,97.269,1298.11,56.07,2743.07,10241.75
2019/3/7,233.93,30.67,202.97,61.96,65.18,149.26,22.08,52.6,3911.48,138.03,57.19,97.628,1285.23,56.66,2748.93,10311.68
2019/3/6,234.12,31.83,206.06,62.29,66.43,152.05,22.41,52.95,3903.94,138.79,55.78,96.799,1284.97,56.22,2771.45,10357.15
2019/3/5,233.38,31.96,208.5,62.09,67.88,156.52,23.5,53.68,3896.38,137.82,53.13,96.795,1287.62,56.56,2789.65,10305.26
2019/3/4,236.72,31.81,212.19,61.65,65.52,156.78,23.37,53.94,3761.56,127.77,46.43,96.61,1286.48,56.59,2792.81,10349.88
2019/2/27,238.55,32.19,210.38,61.33,64.27,155.41,23.48,53.24,3851.05,136.13,45.58,96.038,1319.57,56.94,2792.38,10389.17
2019/2/26,238.51,33.02,223.05,62.27,67.58,157.1,24.21,53.23,3854.36,138.09,45.49,95.865,1328.71,55.5,2793.9,10391.55
2019/2/25,237.67,32.54,216.62,62.95,69.2,158.69,24.71,53.1,3882.7,139.82,46.21,96.271,1327.29,55.48,2796.11,10390.93
2019/2/22,235.43,32.64,217.96,61.95,68.09,159.19,24.36,52.49,4005.53,149.09,49.81,96.367,1327.94,57.26,2792.67,10322.92
2019/2/21,235.61,32.84,221.91,62.07,69.94,155.77,23.92,51.41,3954.12,146.13,49.15,96.463,1323.45,56.96,2774.88,10319.53
2019/2/20,233.01,33.11,218.46,62.24,69.56,158.55,23.95,51.39,3999.82,149.55,51.79,96.294,1338.17,56.92,2784.7,10272.46
2019/2/19,229.5,33.29,202.09,61.77,70.07,156.64,23.95,51.4,3947.09,145.35,47.86,96.349,1340.66,56.09,2779.76,10152.26
2019/2/18,229.56,32.92,198.53,60.08,66.21,NA,NA,NA,3915.71,146.1,48.04,96.74,1325.96,56.27,NA,10145.28
2019/2/15,227.71,33.34,197.86,55.83,62.66,157.34,23.68,51.66,3620.81,122.1,42.7,96.74,1321.24,55.59,2775.6,10064.78
2019/2/14,228.05,34.08,199.42,56.04,66.52,154.53,23.13,50.81,3616.88,121.39,41.64,96.805,1312.25,54.41,2745.73,10089.01
2019/2/13,229.62,33.37,193.64,56.43,61.78,152.88,22.85,50.47,3632.07,122.55,42,96.938,1306.02,53.9,2753.03,10090.58
2019/2/12,229.75,32.41,193.81,55.62,57.14,151.17,22.82,50.01,3653.53,122.57,43.93,96.503,1310.58,53.1,2744.73,10097.74
2019/2/11,227.95,31.94,205.48,54.8,57.17,146.45,22.96,48.77,3648.43,121.3,43.18,96.857,1307.85,52.41,2709.8,10004.25
2019/1/30,220.74,32.04,200.56,54.03,57.12,137.39,23.09,47.54,3486.18,108.91,31.93,95.031,1319.14,54.23,2681.05,9932.26
2019/1/29,222.85,32.16,199.51,53.99,57.31,131.6,19.25,46.54,3448.12,105.6,31.1,95.516,1311.44,53.31,2640,9931.59
2019/1/28,228.78,33.26,205.01,53.91,58.21,138.01,20.18,46.71,3470.45,106.59,31.2,95.424,1303.07,51.99,2643.85,10013.33
2019/1/25,226.27,33.26,202.91,54.09,59.91,160.15,21.93,47.04,3599.77,116.38,32.98,95.465,1303.04,53.69,2664.76,9969.61
2019/1/24,221.98,33.14,200.37,53.52,59.25,157.84,20.85,49.76,3600.87,117.36,32.78,96.297,1280.96,53.13,2642.33,9877.12
2019/1/23,220.72,33.5,201.47,53.62,57.27,149.29,19.8,47.94,3585.12,117.45,32,95.772,1282.5,52.62,2638.7,9846.4
2019/1/22,221.42,32.89,201.04,54.16,57.56,148.77,19.76,48.27,3604.58,118.75,31.68,95.959,1284.93,52.57,2632.9,9894.66
2019/1/21,221.7,34.06,201.32,54.4,58.37,NA,NA,NA,3576.03,117.16,31.21,95.993,1280.05,54.24,NA,9889.4
2019/1/18,218.88,34.49,193.75,53.82,59.55,156.93,20.77,49.19,3657.84,121.01,31.31,95.993,1281.47,53.8,2670.71,9836.06
2019/1/17,219.53,34.78,189.53,53.48,57.83,151.72,20.25,48.47,3678.56,123.74,31.89,95.713,1291.73,52.07,2635.96,9789.15
2019/1/16,218.51,35.32,190.73,53.29,55.46,148.84,19.73,48.13,3655.01,123.55,31.82,95.677,1293.43,52.31,2616.1,9763.81
2019/1/15,218.63,35.84,187.57,52.78,53.62,149.87,20.38,48.6,3630.68,122.03,31.51,95.675,1289.23,52.11,2610.3,9806.04
2019/1/14,218.3,35.7,186.72,52.38,54.25,150.44,20.23,48.35,3706.05,129.07,32.36,95.207,1291.44,50.51,2582.61,9708.22
2019/1/11,219.72,35.74,188.21,53.15,52.6,148.83,20.27,48.93,3687.37,127.55,32.33,95.266,1287.28,51.59,2596.26,9759.4
2019/1/10,215.59,36.88,185.48,55.32,54.22,145.23,19.74,48.56,3678.92,128.63,33.87,95.12,1286.39,52.59,2596.64,9720.69
2019/1/9,214.74,37.37,188.45,55.09,55.24,142.58,20.19,48.01,4035.3,150.8,38.99,94.79,1293.25,52.36,2584.96,9738.31
2019/1/8,210.96,37.28,181.65,54.98,52.28,139.83,20.75,47.74,4030.85,150.36,39.48,95.479,1284.95,49.78,2574.41,9563.6
2019/1/7,212.67,36.25,185.37,54.11,52.85,143.4,20.57,47.44,4025.25,151.7,37.81,95.228,1289,48.52,2549.69,9590.3
2019/1/4,208.63,35.52,175.27,52.76,50.95,136.19,19,47.22,3857.72,154.58,32.4,95.75,1284.79,47.96,2531.94,9382.51
2019/1/3,215.48,37.3,191.27,53.66,54.53,127.99,17.05,44.49,3836.74,149.14,32.03,95.878,1293.97,47.09,2447.89,9492.42
2019/1/2,221.16,37.86,206.04,54.42,55.96,136.22,18.83,47.08,3943.41,155.05,33.43,96.423,1284.32,46.54,2510.03,9554.14
2018/12/28,224.24,37.77,207.06,54.23,54.89,133.65,17.82,46.75,3923.92,137.65,32.51,95.965,1280.81,45.33,2485.74,9727.41
2018/12/27,222.44,36.74,209.94,54.56,57.1,131.17,17.49,46.36,3654.83,116.58,28.29,96.001,1275.44,44.61,2488.83,9641.56
2018/12/26,217.73,36.35,207.99,54.23,59.19,133.1,17.9,46.19,3857.3,131.87,30.99,96.568,1266.85,46.22,2467.7,9478.99
2018/12/25,216.4,37.14,206.92,55.19,63.59,NA,NA,NA,3815.49,129.84,31.13,NA,1269.8,43.16,NA,9527.09
2018/12/24,220.38,37.3,212.54,55.74,59.25,127.08,16.65,43.59,4078.6,140.24,33.2,96.007,1269.02,42.53,2351.1,9639.7
2018/12/22,220.98,37.34,206.75,53.68,55.38,NA,NA,NA,4014.18,116.76,31.86,NA,NA,NA,NA,9646.16
2018/12/21,221.55,36.93,200.15,53.3,51.28,129.57,16.93,44.84,3896.54,109.5,30.8,96.455,1255.79,45.59,2416.62,9676.67
2018/12/20,221.56,36.1,200.06,52.88,47.89,135.1,17.94,45.54,4134.44,116.22,32.82,95.728,1259.59,45.88,2467.42,9674.52
2018/12/19,224.44,37.76,201.4,53.6,48.14,138.51,18.16,45.57,3745.95,101.27,29.68,96.484,1242.8,47.2,2506.96,9783.21
2018/12/18,221.78,39.43,198.46,54.23,47.07,146.94,19.5,47.74,3696.06,101.11,30.14,96.57,1249.15,46.24,2546.16,9718.82
2018/12/17,223.04,38.25,204.87,55.11,44.92,143.58,18.83,47.08,3545.86,95.13,29.27,97.175,1245.58,49.88,2545.94,9787.53
2018/12/14,221.4,35.22,201.75,55.94,45.47,146.45,19.9,47.86,3242.48,84.31,23.46,97.43,1238.17,51.2,2599.95,9774.16
2018/12/13,226.48,35.26,202.12,55.66,47.97,148.89,19.86,48.29,3313.68,86.54,23.67,97.056,1241.69,52.58,2650.54,9858.76
2018/12/12,225.29,34.83,198.48,54.06,47.84,148.9,20.48,47.83,3486.95,90.59,24.49,97.018,1245.37,51.15,2651.07,9816.45
2018/12/11,221.48,33.87,188.55,53.12,47.24,148.19,19.98,47.38,3424.59,88.95,23.8,97.358,1243,51.65,2636.78,9707.04
2018/12/10,219.02,33.27,184.27,50.79,46.94,151.86,19.99,47.21,3502.66,91.69,24.62,97.183,1244.18,51,2637.72,9647.54
2018/12/7,221.82,34.08,195.99,51.59,48.84,147.61,19.46,46.24,3419.94,93.29,25.27,96.476,1248.21,52.61,2633.08,9760.88
2018/12/6,220.33,34.99,194.44,51.53,49.31,158.29,21.3,48.37,3521.1,91.76,26.94,96.764,1237.51,51.49,2695.95,9684.72
2018/12/5,226.07,35.58,203.03,52.61,51.08,NA,NA,NA,3753.99,102.48,29.3,97.01,1237.12,52.89,NA,9916.74
2018/12/4,233.42,36.27,214.4,54.45,53.11,157.11,21.12,47.75,3956.89,110.21,31.19,96.902,1238.27,53.25,2700.06,10083.54
2018/12/3,233.41,34.51,213.02,53.63,53.4,170.04,23.71,50.13,3894.13,108.93,31.07,96.969,1230.41,52.95,2790.37,10137.87
2018/11/30,226.59,32.49,201.88,52.24,51.49,163.43,21.3,49.31,4017.27,113.17,32.06,97.196,1222.18,50.93,2760.17,9888.03
2018/11/29,230.04,32.24,197.09,52.52,52.66,157.36,21.43,47.7,4278.85,117.54,33.8,96.699,1223.93,51.45,2737.8,9885.36
2018/11/28,224.59,30.54,188.32,51.83,51.14,160.07,21.34,48.86,4257.42,122.44,34.63,96.681,1220.96,50.29,2743.79,9884.31
2018/11/27,221.55,28.29,179.13,50.89,48.17,153.73,21.05,48.07,3820.72,110.01,31.07,97.28,1214.79,51.56,2682.17,9778.62
2018/11/26,222.51,27.91,171.9,50.27,48.07,153.05,20.08,47.45,3779.13,108.34,29.41,96.979,1222.05,51.63,2673.45,9765.36
2018/11/23,219.02,26.71,170.02,49.85,47.84,145,19.38,46.54,4347.11,123.3,32.16,96.825,1222.85,50.42,2632.56,9667.3
2018/11/22,220.65,29.51,184.75,51.45,50.09,NA,NA,NA,4365.94,126.71,32.2,96.585,1226.86,54.02,NA,9714.71
2018/11/21,217.3,29.53,187.19,51.8,47.76,144.71,18.73,47.03,4602.17,136.7,34.67,96.585,1225.82,54.63,2649.93,9741.52
2018/11/20,218.79,30.42,186.01,51.82,47.91,149.08,19.21,47.39,4451.87,130.34,33.04,96.716,1221.43,53.43,2641.89,9743.99
2018/11/19,222.5,31.05,184.55,52.06,48.55,144.7,19.11,48,4871.49,149.18,36.64,96.066,1223.85,56.76,2690.73,9828.69
2018/11/16,226.92,29.83,177,51.44,47.44,164.43,20.66,48.83,5575.55,175.18,42.46,96.333,1221.19,56.46,2736.27,9797.09
2018/11/15,230.51,29.81,180.73,51.28,47.93,202.39,21.49,48.11,5648.03,180.81,43.95,96.791,1213.08,56.46,2730.2,9826.46
2018/11/14,229.56,30.11,187.75,51.14,49.38,197.19,20.81,47.09,5738.35,181.4,43.61,96.659,1210.63,56.25,2701.58,9791.88
2018/11/13,226.4,29.53,182.67,50.5,47.42,199.31,19.61,47.39,6359.49,206.83,49.7,97.144,1201.93,55.69,2722.18,9775.84
2018/11/12,232.86,29.88,186.37,51,47.77,189.54,19.03,46.65,6371.27,210.42,50.65,97.382,1200.19,59.93,2726.22,9831.21
2018/11/9,232.3,30.33,188.66,50.25,49.09,205.67,21.03,48.11,6385.62,210.07,51.9,96.734,1209.63,60.19,2781.01,9830.01
2018/11/8,236.62,31.38,195.72,51.27,51.41,205.99,21.2,48.99,6453.72,212.23,52.37,96.55,1223.35,60.67,2806.83,9945.31
2018/11/7,234.35,30.94,188.06,50.14,47.98,213.79,21.84,48.72,6530.14,217.18,54.19,95.807,1226.19,61.67,2813.89,9908.35
2018/11/6,234.13,30.38,191.63,49.46,48.48,211.06,20.68,47.25,6461.01,218.45,55.95,96.117,1226.67,62.21,2755.45,9824.95
2018/11/5,234.12,31.11,207.72,49.67,49.57,211.77,19.9,47.97,6419.66,209.09,53.55,96.083,1231.25,63.1,2738.31,9889.81
2018/11/2,235.49,31.47,222.79,50.11,50.6,214.92,20.23,47.11,6388.44,200.64,51.33,96.343,1232.58,63.14,2723.06,9906.59
2018/11/1,235.43,31.92,220.83,49.55,46.25,218.11,20.22,48.22,6377.78,198.87,50.27,96.081,1233.16,63.69,2740.37,9844.74
2018/10/31,231,30.43,205.02,47.86,42.45,210.83,18.21,46.88,6317.61,197.38,49.44,96.901,1214.43,65.31,2711.74,9802.13
2018/10/30,223.04,29.7,190.59,46.58,40.94,203,17.2,47.76,6334.27,197.56,49.24,96.791,1222.74,66.18,2682.63,9526.11
2018/10/29,222.47,29.15,187.55,46.75,41.51,185.62,16.85,45.4,6332.63,197.25,49.07,96.35,1229.25,67.04,2641.25,9516.32
2018/10/26,220.84,30.15,194.65,46.92,43.28,198.29,17.63,45.69,6474.75,203.33,52.1,96.128,1232.98,67.59,2658.69,9489.18
2018/10/25,220.37,31.07,195.82,47.5,44.8,207.84,19.27,44.31,6476.29,202.72,52.23,96.455,1231.91,67.33,2705.57,9520.79
2018/10/24,229.25,31.67,204.38,48.73,48.79,199.41,22.79,42.42,6495.84,203.85,52.52,96.182,1233.47,66.82,2656.1,9759.4
2018/10/23,232.29,32.21,206.31,49.13,49,221.06,25.09,44.5,6475.74,204.34,52.54,95.713,1230.09,66.43,2740.69,9775.2
